ID;UserID;timestamp;isVisible;version;changesetID;members;tags
R355810;2511706;2016-06-03T19:17:22Z;true;17;39786074;[W15359594=forward,W44884815=forward,W117809277=forward,W44884801=forward,W98669892=forward,W123126029=forward,W123126030=forward,W103094424=forward,W43475242=forward,W103933196=forward,W43475241=forward,W15359589=forward,W103094439=forward,W98669898=forward,W314681855=forward,W314681858=forward,W117809173=forward,W314681893=forward,W314681892=forward,W44884813=forward,W218014219=forward,W422688979=forward,W314801491=forward];[modifier=Spur,ref=5,route=road,type=route,network=US:TX:Spur]
R4231460;3572302;2016-06-07T10:12:41Z;true;4;39857519;[N2665711466=via,W314801708=to,W423382415=from];[restriction=no_right_turn,type=restriction]
R5536913;3119079;2015-09-25T18:18:25Z;true;1;34249805;[W372363031=inner,W372362984=inner,W372363017=outer];[level=3,indoor=corridor,type=multipolygon]
R5536914;3119079;2015-09-25T18:18:25Z;true;1;34249805;[W372362978=inner,W372362983=outer,W372362981=inner,W372363033=inner];[level=0,indoor=corridor,type=multipolygon]
R5536915;3119079;2015-09-25T18:18:25Z;true;1;34249805;[W372363024=inner,W372362985=outer,W372362980=inner,W372362977=inner];[level=4,indoor=corridor,type=multipolygon]
R5536916;3119079;2015-09-25T18:18:25Z;true;1;34249805;[W372362979=inner,W372362982=inner,W372363018=outer,W372363034=inner];[level=2,indoor=corridor,type=multipolygon]
R5536980;3119079;2015-09-25T19:00:15Z;true;1;34250568;[W372366090=inner,W368342603=outer];[level=2,indoor=corridor,type=multipolygon]
R1459145;2093464;2016-02-07T23:41:50Z;true;14;37070915;[W103242317=null,W102750205=null,W102750204=null,W102750207=null,W103022037=null,W103022147=null,W103022263=null,W102752349=null,W102752346=null,W103022113=null,W42853498=null,W102774251=null,W102774259=null,W103050500=null,W103029342=null,W102775035=null,W102775032=null,W103094478=null,W103094475=null,W102774254=null,W44884805=null,W44884804=null,W103242324=null,W45483274=null,W45483273=null,W103022268=null,W102752353=null,W102752354=null,W102752348=null,W103022249=null,W103022112=null,W103021968=null,W43024198=null,W102774262=null,W102774268=null,W102774267=null,W103050493=null,W103029339=null,W102775036=null,W102775038=null,W103094473=null,W103094474=null,W103242299=null,W44884802=null,W44884803=null,W45483267=null,W45483277=null,W103242316=null];[route=railway,name=Houston West Belt Subdivision,type=route,operator=UP]
R5424555;3119079;2015-08-10T02:03:02Z;true;1;33229820;[W364836823=inner,W364836822=outer];[area=yes,highway=pedestrian,type=multipolygon]
R5413529;3119079;2015-08-05T00:27:36Z;true;1;33116256;[W363821087=outer,W363821093=inner];[name=Cambridge Oaks Parking,amenity=parking,type=multipolygon]
R2728567;496606;2015-05-27T13:26:27Z;true;6;31502377;[W203300309=null,W260990549=null,W260990550=null,W261118903=null,W127467786=forward,W157100696=forward,W127467787=null,W260990551=null,W260990552=null];[colour=purple,ref=Purple,route=light_rail,name=Purple Line,type=route,operator=Metropolitan Transit Authority of Harris County, Houston, Texas]
R5411078;3119079;2015-08-04T05:45:44Z;true;1;33087879;[W363855955=inner,W363855957=inner,W363855948=outer,W363855954=inner];[building=dormitory,name=Moody Towers Residence Halls,type=multipolygon]
R5411077;3478684;2016-04-21T21:40:26Z;true;2;38769487;[W363855956=inner,W363855947=outer];[building=yes,name=Hilton University of Houston,tourism=hotel,type=multipolygon]
R5413084;3119079;2015-09-12T17:54:02Z;true;2;33985229;[W364021559=outer,W364021562=inner];[ref=Building 585,addr:postcode=77204,building=yes,addr:country=US,name=General Services Building,image=http://www.uh.edu/wtsc_apps/uh_maps/buildings/photos/gen.gif,type=multipolygon,addr:street=Elgin Street,addr:state=TX,addr:city=Houston,addr:housenumber=4211]
R5413083;3119079;2015-08-04T20:04:25Z;true;1;33110973;[W364021556=inner,W364021557=outer,W364021555=inner];[building=apartments,name=Calhoun Lofts Apartments,type=multipolygon]
R5413082;3119079;2015-08-04T20:04:25Z;true;1;33110973;[W364021553=outer,W364021566=inner,W364021568=inner];[building=yes,name=Bates Law,type=multipolygon]
R5410806;3119079;2015-10-31T05:16:15Z;true;2;34985308;[W363821074=inner,W363821101=outer,W363821097=null,W363821095=null,W363821103=inner,W363821128=inner,W363821121=inner,W363821080=inner];[addr:postcode=77204,building=apartments,phone=(713) 748-3707,fax=(713) 748-8714,website=http://cullenoaks.com/,image=http://www.uh.edu/wtsc_apps/uh_maps/buildings/photos/coaks.jpg,type=multipolygon,addr:street=Cullen Boulevard,addr:city=Houston,addr:housenumber=4600,ref=Building 569,addr:country=US,name=Cullen Oaks Apartments,wikipedia=en:University of Houston student housing,addr:state=TX]
R4829293;496606;2015-04-24T19:18:30Z;true;1;30461027;[W340322481=inner,W340322492=outer];[type=multipolygon,natural=water]
R5385269;1110270;2015-07-22T18:44:30Z;true;1;32809309;[W361779714=outer,W361779715=inner];[leisure=track,type=multipolygon]
R4229593;243003;2014-11-27T08:12:06Z;true;1;27062464;[W15374898=from,N569048113=via,W314681892=to];[restriction=no_right_turn,type=restriction]
