ID;UserID;timestamp;isVisible;version;changesetID;nodes;tags
W367003676;3119079;2015-08-30T18:16:18Z;true;3;33688006;[N3709809427,N3709809386];[ref=T116B,level=0,indoor=room,room=Lab]
W363824720;3119079;2015-09-12T17:31:58Z;true;2;33984513;[N3679540405,N3740419121,N3679540342,N3679540188,N3740419118,N3679540138,N3679540134,N3679540130,N2650007231,N3253108068,N3679539990,N3740419116,N3679539999];[surface=concrete,highway=footway,foot=yes,bicycle=yes]
W363824718;3119079;2015-08-03T22:18:13Z;true;1;33084494;[N3679542315,N3679542278,N3679542274,N3679542267,N3679542248,N3679542229,N3679542210,N3679542191,N3679542196];[lit=yes,surface=concrete,highway=footway,foot=yes,bicycle=yes]
W363824719;3119079;2015-08-03T22:18:13Z;true;1;33084494;[N3679541673,N3679541679,N3679541681,N3679541703,N3679541706,N3679541711,N3679541685,N3679541698,N3679541706];[surface=concrete,highway=footway,foot=yes,bicycle=yes]
W363824714;3119079;2015-08-03T22:18:12Z;true;1;33084494;[N3679539239,N3679539236,N3679539227,N3679539213,N3679539205,N3679539162,N3679539171,N3679539183,N3679539208];[surface=concrete,highway=footway,foot=yes,bicycle=yes]
W363824713;3119079;2015-08-03T22:18:12Z;true;1;33084494;[N3679542714,N3679542659,N3679542664,N3679542672,N3679542675,N3679542679,N3679542684,N3679542692,N3679542699];[surface=concrete,highway=footway,foot=yes,bicycle=yes]
W363824715;3119079;2015-08-03T22:18:12Z;true;1;33084494;[N3679540944,N3679540916,N3679540926,N3679540932,N3679540947,N3679540965,N3679541012,N3679541177,N3679541183];[surface=concrete,highway=footway,foot=yes,bicycle=yes]
W363824710;3119079;2015-08-03T22:18:12Z;true;1;33084494;[N3679541615,N3679541592,N3679541575,N3679541587,N3679541596,N3679541606,N3679541611,N3679541608,N3679541555];[surface=concrete,highway=footway,foot=yes,bicycle=yes]
W363824712;3119079;2015-08-03T22:18:12Z;true;1;33084494;[N3679540166,N3679540147,N3679540133,N3679540018,N3679539993,N3679540005,N3679540014,N3679540129,N3679540144];[surface=concrete,highway=footway,foot=yes,bicycle=yes]
W363824711;3119079;2015-08-03T22:18:12Z;true;1;33084494;[N3679541368,N3679541214,N3679541195,N3679541186,N3679541179,N3679541176,N3679541170,N3679541165,N3679541162];[surface=concrete,highway=footway,foot=yes,bicycle=yes]
W363824700;3119079;2015-08-03T22:18:11Z;true;1;33084494;[N3679541216,N3679541213,N3679541191,N3679541215,N3679541338,N3679541358,N3679541381,N3679541367,N3679541366];[surface=concrete,highway=footway,foot=yes,bicycle=yes]
W363834250;3119079;2015-08-04T01:32:41Z;true;1;33086139;[N3679636262,N3679636253,N3679636243,N3679636242,N3679636249,N3679636240,N3679636167,N3679636179,N3679636201,N3679636199,N3679636206,N3679636214,N3679636262];[building=yes]
W363824705;3119079;2015-08-03T22:18:12Z;true;1;33084494;[N3679541154,N3679541178,N3679541174,N3679541161,N3679541142,N3679541134,N3679541024,N3679541010,N3679540995];[surface=concrete,highway=footway,foot=yes,bicycle=yes]
W363824703;3119079;2015-08-03T22:18:11Z;true;1;33084494;[N3679539748,N3679539640,N3679539588,N3679539548,N3679539481,N3679539378,N3679539390,N3679539399,N3679539407];[surface=concrete,highway=footway,foot=yes,bicycle=yes]
W363824708;3119079;2015-08-03T22:18:12Z;true;1;33084494;[N3679539756,N3679539739,N3679539734,N3679539712,N3679539684,N3679539657,N3679539628,N3679539600,N3679539586];[surface=concrete,highway=footway,foot=yes,bicycle=yes]
W363824709;3119079;2015-08-03T22:18:12Z;true;1;33084494;[N3679541737,N3679541724,N3679541721,N3679541716,N3679541710,N3679541696,N3679541686,N3679541718,N3679541767];[surface=concrete,highway=footway,foot=yes,bicycle=yes]
W363834257;3119079;2015-08-04T01:32:41Z;true;1;33086139;[N3679636419,N3679636405,N3679636385,N3679636387,N3679636367,N3679636363,N3679636376,N3679636366,N3679636356,N3679636353,N3679636317,N3679636329,N3679636333,N3679636341,N3679636394,N3679636398,N3679636419];[building=yes]
W363834258;3119079;2015-08-04T01:32:41Z;true;1;33086139;[N3679636059,N3679636052,N3679636058,N3679636057,N3679636100,N3679636096,N3679636053,N3679636051,N3679636049,N3679636047,N3679636026,N3679636028,N3679636023,N3679636025,N3679636008,N3679636010,N3679636003,N3679636005,N3679636012,N3679636015,N3679636011,N3679636014,N3679636019,N3679636022,N3679636059];[building=yes]
W363834259;3119079;2015-08-04T01:32:42Z;true;1;33086139;[N3679636454,N3679636450,N3679636434,N3679636440,N3679636454];[building=yes]
W363834256;3119079;2015-08-04T01:32:41Z;true;1;33086139;[N3679636310,N3679636305,N3679636313,N3679636309,N3679636273,N3679636271,N3679636245,N3679636251,N3679636246,N3679636250,N3679636232,N3679636241,N3679636292,N3679636287,N3679636310];[building=yes]
W363834263;3119079;2015-08-04T01:32:42Z;true;1;33086139;[N3679636504,N3679636502,N3679636488,N3679636493,N3679636504];[building=yes]
W363834262;3119079;2015-08-04T01:32:42Z;true;1;33086139;[N3679636299,N3679636285,N3679636247,N3679636259,N3679636299];[building=yes]
W363834261;3119079;2015-08-04T01:32:42Z;true;1;33086139;[N3679636183,N3679636171,N3679636155,N3679636161,N3679636183];[building=yes]
W363834260;3119079;2015-08-04T01:32:42Z;true;1;33086139;[N3679636320,N3679636357,N3679636344,N3679636311,N3679636320];[building=yes]
W363834269;3119079;2015-08-04T01:32:42Z;true;1;33086139;[N3679636168,N3679636164,N3679636149,N3679636157,N3679636168];[building=yes]
W363834266;3119079;2015-08-04T01:32:42Z;true;1;33086139;[N3679636525,N3679636529,N3679636527,N3679636523,N3679636525];[building=yes]
W363834267;3119079;2015-08-04T01:32:42Z;true;1;33086139;[N3679636314,N3679636339,N3679636328,N3679636308,N3679636314];[building=yes]
W363834264;3119079;2015-08-04T01:32:42Z;true;1;33086139;[N3679636132,N3679636154,N3679636145,N3679636124,N3679636132];[building=yes]
W363834265;3119079;2015-08-04T01:32:42Z;true;1;33086139;[N3679636254,N3679636264,N3679636282,N3679636277,N3679636254];[building=yes]
W363834241;3119079;2015-08-04T01:32:40Z;true;1;33086139;[N3679636393,N3679636428,N3679636423,N3679636410,N3679636408,N3679636418,N3679636414,N3679636380,N3679636389,N3679636386,N3679636393];[building=yes]
W363834244;3119079;2015-08-04T01:32:40Z;true;1;33086139;[N3679636120,N3679636139,N3679636125,N3679636114,N3679636089,N3679636087,N3679636074,N3679636055,N3679636090,N3679636095,N3679636120];[building=yes]
W363834249;3119079;2015-08-04T01:32:41Z;true;1;33086139;[N3679636072,N3679636071,N3679636105,N3679636103,N3679636078,N3679636079,N3679636063,N3679636062,N3679636043,N3679636045,N3679636046,N3679636048,N3679636072];[building=yes]
W363834246;3119079;2015-08-04T01:32:40Z;true;1;33086139;[N3679636130,N3679636128,N3679636143,N3679636141,N3679636037,N3679636038,N3679636068,N3679636069,N3679636075,N3679636076,N3679636130];[building=yes]
W363834299;3119079;2015-08-04T01:32:44Z;true;1;33086139;[N3679636500,N3679636496,N3679636489,N3679636495,N3679636500];[building=yes]
W363834298;3119079;2015-08-04T01:32:44Z;true;1;33086139;[N3679636530,N3679636528,N3679636524,N3679636526,N3679636530];[building=yes]
W363834295;3119079;2015-08-04T01:32:43Z;true;1;33086139;[N3679636252,N3679636278,N3679636263,N3679636237,N3679636252];[building=yes]
W363834296;3119079;2015-08-04T01:32:43Z;true;1;33086139;[N3679636494,N3679636499,N3679636498,N3679636491,N3679636494];[building=yes]
W363834293;3119079;2015-08-04T01:32:43Z;true;1;33086139;[N3679636257,N3679636244,N3679636216,N3679636226,N3679636257];[building=yes]
W363834294;3119079;2015-08-04T01:32:43Z;true;1;33086139;[N3679636220,N3679636238,N3679636231,N3679636210,N3679636220];[building=yes]
W363834292;3119079;2015-08-04T01:32:43Z;true;1;33086139;[N3679636091,N3679636123,N3679636107,N3679636081,N3679636091];[building=yes]
W363834290;3119079;2015-08-04T01:32:43Z;true;1;33086139;[N3679636534,N3679636533,N3679636531,N3679636532,N3679636534];[building=yes]
W363834278;3119079;2015-08-04T01:32:43Z;true;1;33086139;[N3679636432,N3679636425,N3679636399,N3679636412,N3679636432];[building=yes]
W363834275;3119079;2015-08-04T01:32:42Z;true;1;33086139;[N3679636484,N3679636481,N3679636469,N3679636471,N3679636484];[building=yes]
W117809173;243003;2014-11-27T08:12:07Z;true;2;27062464;[N582002270,N569048121];[tiger:county=Harris, TX,ref=Spur 5,highway=trunk,oneway=yes,tiger:name_base=State Highway 35,lanes=2,tiger:cfcc=A35]
W363834279;3119079;2015-08-04T01:32:43Z;true;1;33086139;[N3679636300,N3679636283,N3679636256,N3679636270,N3679636300];[building=yes]
W363834270;3119079;2015-08-04T01:32:42Z;true;1;33086139;[N3679636490,N3679636485,N3679636468,N3679636473,N3679636490];[building=yes]
W363834273;3119079;2015-08-04T01:32:42Z;true;1;33086139;[N3679636541,N3679636539,N3679636536,N3679636537,N3679636541];[building=yes]
W363834274;3119079;2015-08-04T01:32:42Z;true;1;33086139;[N3679636275,N3679636293,N3679636284,N3679636266,N3679636275];[building=yes]
W363834271;3119079;2015-08-04T01:32:42Z;true;1;33086139;[N3679636272,N3679636298,N3679636281,N3679636258,N3679636272];[building=yes]
W363834272;3119079;2015-08-04T01:32:42Z;true;1;33086139;[N3679636188,N3679636165,N3679636172,N3679636196,N3679636188];[building=yes]
W366523053;2226712;2015-08-19T20:28:45Z;true;2;33449477;[N3705061636,N3705061635,N3705061633];[highway=service,service=parking_aisle]
W363834287;3119079;2015-08-04T01:32:43Z;true;1;33086139;[N3679636186,N3679636173,N3679636153,N3679636159,N3679636186];[building=yes]
W363834286;3119079;2015-08-04T01:32:43Z;true;1;33086139;[N3679636348,N3679636358,N3679636383,N3679636374,N3679636348];[building=yes]
W363834289;3119079;2015-08-04T01:32:43Z;true;1;33086139;[N3679636501,N3679636503,N3679636511,N3679636509,N3679636501];[building=yes]
W363834280;3119079;2015-08-04T01:32:43Z;true;1;33086139;[N3679636370,N3679636378,N3679636397,N3679636390,N3679636370];[building=yes]
W363834281;3119079;2015-08-04T01:32:43Z;true;1;33086139;[N3679636248,N3679636221,N3679636184,N3679636217,N3679636248];[building=yes]
W363834282;3119079;2015-08-04T01:32:43Z;true;1;33086139;[N3679636409,N3679636430,N3679636420,N3679636395,N3679636409];[building=yes]
W363834283;3119079;2015-08-04T01:32:43Z;true;1;33086139;[N3679636197,N3679636207,N3679636234,N3679636225,N3679636197];[building=yes]
W363834284;3119079;2015-08-04T01:32:43Z;true;1;33086139;[N3679636373,N3679636362,N3679636340,N3679636347,N3679636373];[building=yes]
W363834285;3119079;2015-08-04T01:32:43Z;true;1;33086139;[N3679636304,N3679636291,N3679636269,N3679636280,N3679636304];[building=yes]
W129325979;3119079;2015-08-05T04:49:33Z;true;7;33117683;[N569953511,N1427129569,N1427129762,N1427129652,N1427129143,N1427129424,N1427129207,N2189032596,N3650967631,N2189032597,N2665795575,N2665795553,N2665795623,N2665795632,N2665795572,N2665795655,N2665795538,N2665795644,N2665795560,N2665795604,N2665795599,N2665795581,N2665795528,N2665795630,N2665795542,N2665795634,N2665795518,N2665795640,N2665795648];[power=line,operator=CenterPoint Energy]
W364717693;3119079;2015-08-09T05:00:43Z;true;1;33211989;[N3687647636,N3687647568,N3687647562,N3687647559,N3687647557,N3687647477,N3687647469,N3687647475,N3687647511,N3687647525,N3687647636];[landuse=residential]
W364717694;3119079;2015-08-09T05:00:43Z;true;1;33211989;[N3687647359,N3687647354,N3687647406,N3687647410,N3687647412,N3687647414,N3687647415,N3687647419,N3687647417,N3687647416,N3687647413,N3687647411,N3687647359];[landuse=grass]
W364717687;3119079;2015-08-09T05:00:42Z;true;1;33211989;[N3687647591,N3687647586,N3687647599,N3687647590,N3687647564,N3687647571,N3687647541,N3687647550,N3687647591];[building=yes]
W364717688;3119079;2015-08-09T05:00:42Z;true;1;33211989;[N3687647707,N3687647726,N3687647721,N3687647704,N3687647722,N3687647725,N3687647751,N3687647742,N3687647749,N3687647747,N3687647714];[surface=concrete,highway=footway]
W364717678;3119079;2015-08-09T05:00:41Z;true;1;33211989;[N3687647605,N3687647602,N3687647631,N3687647620,N3687647592,N3687647593,N3687647560,N3687647565,N3687647605];[building=yes]
W314801706;1110270;2016-10-17T12:55:18Z;true;8;42959241;[N4230096278,N152129613,N2657147453,N152129615,N152129621,N152129624,N152129627,N152129630,N152129634,N152129635,N152129637,N2665795611,N3662007479,N3208481189,N3662007466,N152074417,N4451858658,N152129646,N4451858665,N152129652,N152129659,N2399831391,N151370606,N4451831415,N151370607,N4224228898];[tiger:zip_right=77051,tiger:county=Harris, TX,highway=secondary,tiger:name_type=St,tiger:zip_left=77051,name=Scott Street,oneway=yes,tiger:name_base=Scott,tiger:cfcc=A41]
W314801708;3119079;2015-08-06T18:00:54Z;true;2;33161645;[N2665711466,N151446752,N2665544378,N152922612,N153438208,N152686531,N152693120,N152133963,N152287144,N153438209,N151494888,N151657065,N153376816,N153376805,N3684471747,N152793950,N151568126,N3684471738,N153438212,N153438217,N152234102,N153438224,N153438227];[tiger:county=Harris, TX,highway=secondary,tiger:name_type=Fwy,name=Gulf Freeway Frontage Road,oneway=yes,tiger:name_base=Gulf,note=frontage,tiger:cfcc=A64]
W364717668;3119079;2015-08-09T05:00:41Z;true;1;33211989;[N3687647323,N3687647322,N3687647340,N3687647395,N3687647386,N3687647391,N3687647387,N3687647319,N3687647323];[building=yes]
W364717664;3119079;2015-08-09T05:00:41Z;true;1;33211989;[N3687647719,N3687647714,N3687647711,N3687647693,N3687647701,N3687647719];[building=yes]
